Name,Party,Stiftung gemeinnütziger Wohnungsbau,Separativer Unterricht,Kündigung Bilaterale Verträge,Ausbau Stadion Schützenwiese,Kostenmiete statt Marktmiete,Public-Private-Partnerships,Verdichtetes Bauen,Bau von Windkraftanlagen,Engere Beziehungen zur EU,Verbot automatisierter Gesichtserkennung,Freie Marktwirtschaft,Einsatz von Sozialdetektiv/-innen,Barrierefreies Wohnen,Kürzung Sozialausgaben,Neubau Alterszentrum Adlergarten,Wohnungsvergabe an Einwohnende,Tagesschulen,Handyverbot an Schulen,Gleiche Bildungschancen,Stimmrecht für Ausländer/-innen,Abschaffung Wohnsitzpflicht,Gebührenfreie Einbürgerung unter 25,Selbstfinanzierte Sprachkurse für Ausländer/-innen,Ausbau Kulturförderung,Finanzierung Internationale Kurzfilmtage,Verbot geschlechtsneutraler Sprache,Steuersenkung,Schuldenabbau,Einstellungsstopp Stadtverwaltung,Strengere Kontrollen Lohngleichheit,Bessere Arbeitsbedingungen Stadtpersonal,Parkbewilligungen für Schichtarbeitende,Ökologische Mindeststandards im Bau,Lockerung Denkmal- und Ortsbildschutz,Sanierung Campingplatz Schützenweiher,Velowege statt Parkplätze,Verzicht auf Tram- und S-Bahn-Ausbau,Förderung motorisierter Individualverkehr,Förderung Fernwärmeanschluss,Förderung Dach- und Fassadenbegrünung,Begrünung Stadtraum,Digitale Stadtverwaltung,Ausbau Auslandshilfe,Strikte Neutralitätspolitik,Massnahmen gegen Littering,Massnahmen gegen Drogenkonsum,Stärkeres Engagement gegen häusliche Gewalt,Erhöhte Polizeipräsenz,Staatliche Umverteilung,Bestrafung von Kriminellen,Umweltschutz,Links_Rechts,Liberal_Konservativ
Hansruedi Hofer,SVP,No,Yes,Rather yes,Rather yes,No,Yes,Yes,No,No,No,7,Yes,Rather yes,Rather yes,Yes,Yes,No,Yes,Rather no,No,No,No,Rather yes,Rather no,No,Yes,Rather yes,Yes,Yes,No,No,Yes,No,Yes,Rather yes,Rather yes,Rather yes,Yes,Rather yes,Rather no,Rather no,No,No,Rather yes,Yes,Rather yes,Rather no,Rather yes,1,3,2,36.5,6.5
Bea Bleistein,SVP,No,Yes,Rather yes,Rather yes,Rather no,No,No,Rather yes,No,No,3,Yes,Rather no,Rather yes,No,Yes,No,Rather yes,Rather yes,Rather yes,No,Rather no,Rather yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Rather yes,Rather yes,Rather no,Yes,No,Rather yes,Rather yes,Rather yes,3,6,1,24.5,7.5
Emil Perret,SVP,Rather no,Yes,No,Yes,No,Rather yes,Yes,No,No,No,7,Yes,Rather yes,Rather yes,Yes,Yes,Rather no,Yes,Rather yes,No,No,No,Rather yes,No,No,Yes,Yes,Yes,Yes,Rather no,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Rather yes,Yes,Rather no,Yes,1,7,1,43.0,9.5
Maria Sorgo,SP,Yes,No,No,Yes,Yes,No,Rather yes,Yes,Yes,Yes,1,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Rather yes,Yes,No,Yes,Yes,Rather yes,No,Yes,Yes,Yes,Rather no,Yes,No,No,No,Yes,Rather no,7,2,7,-51.5,-8.5
Gabi Stritt,SP,Yes,No,No,Yes,Yes,Rather no,Rather yes,Rather yes,Yes,Yes,3,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Rather yes,Yes,Rather no,Yes,Yes,Rather yes,No,Yes,Yes,Yes,Rather no,Yes,No,No,No,Yes,Rather no,6,2,6,-46.0,-11.5
Beatrice Helbling-Wehrli,SP,Yes,No,No,Yes,Yes,Rather no,Rather yes,Rather yes,Yes,Yes,2,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Rather yes,Yes,No,Yes,Yes,Rather yes,No,Yes,Yes,Yes,Rather no,Yes,No,No,No,Yes,Rather no,7,2,6,-48.5,-10.0
Lea Jacot,SP,Rather yes,Rather no,No,Rather yes,Yes,No,Rather no,Rather yes,Yes,Yes,5,No,Yes,No,Yes,Rather no,Yes,Rather no,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Rather no,Rather yes,Rather no,Rather yes,Yes,Rather no,Rather no,Rather yes,Yes,Yes,Rather no,Rather no,No,Yes,Rather no,Yes,No,6,1,6,-41.0,-11.0
Markus Steiner,SP,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,1,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,7,1,7,-54.0,-13.0
Fredy Künzler,SP,Yes,Rather yes,No,Yes,Rather yes,No,Yes,Rather yes,Yes,Yes,4,No,Yes,No,Yes,No,Yes,Rather no,Yes,Yes,Rather no,Yes,No,Yes,No,No,No,No,No,Yes,Rather yes,No,Yes,Rather yes,Yes,Yes,No,No,Rather yes,No,Yes,Rather yes,Yes,No,Rather no,Rather no,Yes,Rather no,5,1,7,-37.0,-14.5
Marilena Gnesa,SP,Yes,No,No,Yes,Yes,Rather no,Rather yes,Yes,Rather yes,Yes,2,No,Yes,No,Yes,No,Yes,Rather no,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Rather no,No,No,Yes,Rather yes,Rather yes,Yes,No,Yes,Yes,Rather yes,No,Yes,Rather yes,Yes,Rather no,Yes,No,No,No,Yes,Rather yes,7,2,6,-45.5,-8.5
Philippe Weber,SP,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,1,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Rather yes,Yes,No,Rather yes,Yes,Rather yes,No,Yes,Yes,Yes,Rather no,Yes,No,No,No,Yes,No,7,1,7,-52.5,-10.5
Thomi Gschwind,SP,Yes,Rather yes,No,Yes,Yes,Rather no,Yes,Rather yes,Yes,Yes,1,Rather no,Yes,No,Yes,No,Yes,Rather yes,Yes,Yes,Rather yes,Yes,No,Yes,Rather yes,No,No,No,No,Rather yes,Rather yes,Rather yes,Yes,Rather no,Rather no,Yes,Yes,No,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,Rather no,Rather yes,Yes,Rather no,7,3,6,-35.0,-3.0
Livia Merz,SP,Yes,No,No,Yes,Yes,Rather no,Yes,Yes,Yes,Yes,1,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Rather yes,Yes,No,Yes,Yes,Rather yes,No,Yes,Yes,Yes,Rather no,Yes,No,Rather no,Rather no,Yes,Rather no,7,2,7,-49.5,-8.5
Katja Hager,SP,Yes,Rather no,No,Yes,Yes,Rather no,Rather yes,Yes,Yes,Yes,1,No,Yes,No,Yes,No,Rather yes,Rather no,Yes,Yes,Yes,Yes,No,Yes,Rather yes,No,No,No,No,Yes,Yes,Rather yes,Yes,Rather yes,Rather yes,Yes,Rather yes,No,Rather yes,Yes,Yes,Rather yes,Yes,No,Rather no,Rather no,Yes,No,7,2,7,-45.5,-10.0
Cristina Brunel,SP,Yes,No,No,Yes,Yes,Rather no,Rather yes,Yes,Yes,Yes,2,No,Yes,No,Yes,No,Yes,No,Rather yes,Yes,Rather yes,Yes,Rather no,Yes,Yes,No,No,No,No,Yes,Rather yes,Rather yes,Yes,Rather no,Yes,Rather yes,Rather yes,No,Yes,Rather yes,Yes,Rather no,Yes,No,Rather no,Rather no,Yes,Rather no,6,3,5,-41.5,-7.0
Franziska Tschirky Feratovic,SP,Yes,No,No,Yes,Rather yes,No,Rather yes,Yes,Yes,Yes,2,No,Yes,No,Yes,No,Yes,No,Yes,Rather yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Rather yes,Rather yes,Yes,No,Yes,Rather yes,Yes,No,Yes,Yes,Yes,Rather no,Rather yes,No,No,No,Yes,Rather no,6,1,7,-47.5,-10.0
Luca Tschan,SP,Yes,No,No,Yes,Yes,No,Rather yes,Yes,Yes,Yes,1,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Rather no,Rather yes,Yes,Rather no,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Rather no,7,2,7,-52.0,-9.0
Valeria Muster,SP,Yes,No,No,Yes,Yes,No,Rather yes,Yes,Yes,Yes,1,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Rather yes,No,Yes,Yes,No,Yes,Yes,Yes,Rather yes,Yes,No,No,No,Yes,No,7,1,7,-49.5,-11.5
Jan Schellenberg,SP,Yes,No,No,Yes,Yes,Rather no,Rather yes,Yes,Yes,Rather yes,2,No,Yes,No,Yes,No,Yes,Rather no,Yes,Yes,Yes,Yes,Rather no,Yes,Yes,No,No,No,No,Yes,Rather yes,Rather yes,Yes,Rather no,Yes,Yes,Rather no,Rather yes,Rather no,Rather yes,Yes,Rather no,Yes,No,Rather yes,Rather yes,Yes,Rather no,7,2,5,-40.0,-5.5
Rolf Räth,SP,Yes,No,No,Yes,Yes,No,Rather yes,Yes,Yes,Yes,1,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Rather yes,No,No,No,No,Yes,Yes,Yes,Yes,Rather no,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,7,2,7,-44.5,-8.0
Simon Stettler,SP,Yes,No,No,Yes,Yes,No,Rather yes,Yes,Yes,Yes,1,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Rather yes,No,Yes,Rather yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,7,1,7,-51.5,-10.5
Tobija Fischer,SP,Yes,No,No,Yes,Yes,Rather no,Rather yes,Yes,Yes,Yes,1,No,Yes,No,Yes,No,Yes,Rather no,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Rather yes,Yes,Rather no,No,Yes,Rather yes,No,Yes,Yes,Yes,Rather yes,Yes,No,Rather no,No,Yes,No,7,1,7,-48.0,-11.0
Martina Pfirter,SP,Yes,No,No,Yes,Yes,Rather no,Yes,Yes,Yes,Yes,2,Rather no,Yes,No,Yes,Yes,Yes,Rather yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rather no,No,Yes,Yes,Yes,Rather yes,Yes,No,Rather yes,Rather no,Yes,Rather no,6,1,7,-41.0,-9.0
Benjamin Kuratli,SP,Yes,No,No,Yes,Yes,Rather no,Yes,Yes,Yes,Yes,2,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Rather yes,Rather no,Yes,No,Rather yes,Yes,Rather yes,No,Yes,Yes,Yes,Rather no,Rather yes,No,No,No,Yes,No,6,2,7,-49.0,-12.0
Ange Tangermann,SP,Yes,Yes,No,Rather no,Yes,Rather no,Yes,Rather yes,Yes,Rather yes,4,Rather no,Yes,No,Yes,No,Rather yes,Rather yes,Rather yes,Yes,Rather yes,Yes,No,Yes,Rather yes,No,Rather no,No,Rather no,Rather no,Rather no,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Yes,No,Rather yes,Rather yes,Yes,Rather yes,Rather no,Rather no,Rather no,Rather no,Rather yes,Rather no,6,2,7,-25.0,-9.0
Oliver Porges,SP,Yes,Rather yes,No,Rather yes,Yes,No,Rather yes,Yes,Yes,Yes,2,No,Rather yes,No,Yes,Rather no,Rather yes,Rather yes,Yes,Yes,Rather yes,Yes,No,Rather yes,Rather yes,No,No,No,No,Rather yes,Rather yes,Rather no,Yes,Rather no,Rather no,Yes,Rather yes,No,Rather no,Rather yes,Yes,Rather yes,Yes,No,Rather no,Rather no,Yes,Rather no,7,1,7,-40.5,-8.0
Bettina Gasser Good,SP,Yes,No,Rather no,Yes,Yes,Rather yes,Yes,Yes,Yes,Yes,2,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Rather yes,Rather no,Yes,Yes,No,No,No,No,Yes,Rather yes,Rather yes,Yes,No,Rather yes,Yes,Rather no,No,Yes,Yes,Yes,Rather no,Yes,No,Rather no,No,Yes,Rather no,6,2,7,-42.0,-6.5
Andi Gentsch,SP,Yes,Rather no,No,Yes,Rather yes,Rather no,Yes,Yes,Yes,Yes,2,Rather no,Yes,No,Yes,No,Yes,Rather no,Yes,Yes,Yes,Yes,Rather no,Yes,Rather yes,No,No,No,No,Yes,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Yes,Rather yes,Rather no,Yes,Yes,Yes,Rather yes,Yes,No,Rather no,Rather no,Yes,Rather no,7,1,7,-43.0,-11.0
Cornelia Ott Douar,SP,Rather yes,No,No,Yes,Yes,No,Yes,Yes,Rather yes,Yes,2,Rather yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Rather yes,Yes,No,No,No,Rather no,Rather yes,No,Yes,Yes,No,Yes,Yes,Yes,Rather no,No,Yes,Yes,No,Rather yes,No,No,No,Yes,No,6,1,7,-41.0,-8.0
Marco Tschenett,SP,Yes,Rather no,No,Yes,Yes,Rather yes,Yes,Yes,Yes,Yes,3,Rather yes,Rather yes,No,Rather yes,Rather yes,Rather no,Rather no,Yes,No,Rather no,No,Rather yes,Yes,Rather yes,No,Rather no,No,No,Yes,Yes,Rather yes,Yes,Yes,Rather no,Yes,No,No,No,Rather yes,Yes,Rather yes,Rather yes,No,Rather yes,Yes,Rather yes,Rather yes,6,2,7,-22.5,-2.0
Vincent Lemaire,SP,Yes,Rather no,Rather yes,Rather yes,Yes,No,Rather no,Yes,Rather no,Yes,1,No,Yes,No,Yes,No,Yes,Rather yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Rather no,No,Rather yes,Rather no,Rather no,Yes,Yes,Yes,Yes,Yes,Rather yes,No,No,Yes,No,7,1,7,-44.5,-4.5
Helena Brunt,SP,Yes,No,No,Yes,Yes,Rather no,Rather yes,Yes,Yes,Yes,2,No,Yes,No,Yes,No,Rather no,No,Yes,Yes,Rather yes,Yes,Rather no,Yes,Yes,No,No,No,No,Rather yes,Yes,Rather yes,Yes,No,Rather yes,Yes,Rather yes,Rather no,Yes,Yes,Yes,No,Rather yes,No,Rather yes,No,Yes,Rather no,7,2,6,-44.0,-6.5
Susanne Oberholzer,SP,Yes,No,No,Yes,Yes,No,Rather yes,Rather yes,Yes,Yes,1,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Rather yes,Rather yes,Yes,No,Yes,Yes,Rather yes,No,Yes,Yes,Yes,No,Rather yes,No,No,Rather no,Yes,Rather yes,6,2,6,-47.0,-6.5
Elif Akyol,SP,Yes,Rather no,No,Rather yes,Rather yes,No,Rather yes,Yes,Yes,Rather yes,2,Rather no,Yes,No,Yes,Rather no,Rather yes,Rather yes,Yes,Yes,Yes,Yes,No,Rather yes,Rather yes,No,No,No,Rather no,Yes,Yes,Yes,Yes,Rather no,Rather yes,Rather yes,Yes,No,Rather yes,Yes,Yes,Rather yes,No,Rather no,No,No,Yes,No,6,3,5,-34.5,-6.5
Andrea Rey,SP,Yes,No,No,Rather no,Rather yes,Rather no,Rather yes,Yes,Yes,Yes,1,No,Yes,No,Yes,Rather no,Yes,Rather yes,Yes,Yes,Rather yes,Yes,No,Rather yes,Rather yes,No,No,No,No,Yes,Yes,Rather yes,Yes,No,Rather yes,Yes,Rather yes,No,Yes,Yes,Yes,Rather yes,Yes,No,Yes,Rather no,Yes,Rather no,6,3,6,-39.0,-4.5
Andreas Bunschoten,SP,Yes,Rather no,No,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Yes,Rather no,5,Rather no,Rather yes,No,Yes,No,Rather yes,Rather yes,Rather no,Yes,Yes,Rather yes,No,Yes,Rather yes,No,No,Rather no,No,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Yes,Yes,Rather yes,No,Rather no,Rather no,Rather yes,Rather yes,Rather yes,No,Rather no,Rather no,Yes,Rather no,5,2,5,-24.5,-11.5
Manon Christelle,SP,Yes,No,No,Yes,Yes,Rather no,Rather yes,Yes,Yes,Yes,4,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Rather no,Yes,Yes,Yes,Rather yes,Rather yes,No,No,Rather yes,Yes,Rather yes,7,2,5,-38.5,-11.5
Pauline Van Hoef,SP,Yes,No,No,Rather no,Yes,Rather no,Rather yes,Yes,Rather yes,Yes,4,No,Yes,No,Yes,No,Rather yes,Rather yes,Yes,Yes,Rather yes,Yes,No,Yes,Yes,No,Rather no,Rather no,No,Yes,Rather yes,Rather no,Yes,Rather no,Rather yes,Yes,Yes,No,Rather yes,Yes,Yes,Rather no,Rather yes,No,Rather no,No,Yes,No,7,1,7,-42.0,-12.5
Tamara Pabst,SP,Yes,No,No,Yes,Yes,Rather no,Rather yes,Rather yes,Yes,Yes,2,Rather no,Yes,No,Yes,Rather yes,No,Rather no,Yes,Yes,Rather yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Rather yes,Rather yes,Yes,No,Yes,Rather yes,Rather yes,Rather no,Yes,Yes,Yes,Rather no,No,No,Rather no,No,Yes,Rather yes,6,1,6,-38.5,-6.0
Ramona Früh,SP,Yes,Rather yes,No,Yes,Yes,Rather yes,Yes,Yes,Rather yes,Yes,1,No,Yes,No,Yes,No,Yes,Rather yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Rather no,No,Yes,No,No,Yes,Rather yes,No,Yes,Yes,Yes,Rather yes,Rather yes,No,Rather yes,No,Yes,Rather no,7,1,7,-44.0,-9.0
Felix Steger,SP,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,2,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Rather yes,No,Rather no,No,No,Yes,Rather yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,6,2,6,-44.5,-15.5
Giannalisa Vello,SP,Yes,Yes,No,Rather yes,Yes,No,Rather yes,Rather yes,Yes,Rather no,1,No,Rather yes,No,Yes,Yes,Rather yes,Yes,Yes,Yes,Yes,Yes,Rather no,Yes,Rather yes,No,Rather no,Rather no,Rather yes,Rather yes,Rather no,Yes,Yes,Rather no,Rather yes,Yes,Rather yes,No,Rather yes,Rather yes,Yes,No,Yes,Rather no,Rather no,No,Yes,Rather yes,7,1,7,-34.0,-1.5
Linus Fischer,SP,Yes,Yes,No,Yes,Yes,Rather yes,Rather yes,Yes,Yes,Yes,3,No,Yes,No,Yes,Yes,Yes,Rather yes,Yes,Yes,Rather no,Yes,Rather no,Yes,Rather yes,No,No,No,No,Yes,Yes,Yes,Rather yes,Rather yes,Rather yes,Yes,Rather no,No,Rather yes,Rather yes,Yes,Yes,Rather yes,No,Rather yes,Rather no,Yes,No,6,2,7,-33.0,-6.5
Severin Toberer,SP,Yes,Rather no,No,Yes,Yes,Rather no,Yes,Yes,Yes,Yes,1,Rather yes,Yes,No,Yes,Rather yes,Yes,Rather no,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Rather no,No,No,Yes,Rather yes,Rather yes,Yes,No,Rather yes,Yes,No,No,Yes,Yes,Yes,Rather yes,Yes,No,No,No,Yes,No,7,1,7,-47.5,-10.0
Yasmine Douar,SP,Yes,Rather yes,No,Rather yes,Yes,Rather no,Yes,Yes,Rather yes,Yes,2,Rather no,Yes,No,Rather yes,Rather no,Yes,Rather yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Rather no,No,Yes,Rather yes,Rather yes,Yes,Rather no,Rather no,Yes,No,No,Yes,Yes,Yes,Rather yes,Rather yes,Rather yes,Rather no,No,Yes,Rather no,7,1,6,-40.5,-8.5
Simon Demont,SP,Yes,Rather yes,No,Rather yes,Yes,No,Yes,Yes,Yes,Yes,2,Rather no,Yes,No,Yes,No,Yes,Rather yes,Rather yes,Yes,No,Rather yes,No,Rather yes,Yes,No,Rather no,No,Rather no,Rather yes,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Yes,Yes,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Rather yes,No,Rather no,Rather no,Yes,Rather no,6,2,6,-30.0,-4.0
Dominic Schmid,SP,Yes,Rather no,No,Yes,Yes,Rather yes,Yes,Rather yes,Rather yes,Yes,3,Rather no,Yes,No,Yes,Rather no,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Yes,Rather no,Yes,Rather no,No,Rather yes,No,Rather no,Yes,Rather yes,No,Rather yes,Rather yes,Rather no,Yes,Rather no,No,Rather no,Rather yes,Rather yes,Rather yes,Yes,Rather no,Rather no,No,Yes,Rather no,6,1,7,-33.5,-14.5
Vincenzo Sartori,SP,Yes,No,No,Rather yes,Yes,No,Rather yes,Rather yes,Rather no,Yes,1,No,Yes,No,Yes,Rather no,Yes,Rather yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Rather no,No,No,Rather no,Yes,Yes,Yes,Rather yes,No,Yes,Rather yes,No,Rather yes,Yes,Yes,Rather yes,Rather yes,No,No,No,Yes,No,7,1,7,-42.5,-9.0
Sarah Bolleter,SP,Yes,Rather no,No,Rather yes,Rather yes,Rather yes,Rather yes,Yes,Yes,Rather yes,3,Rather no,Yes,No,Yes,Rather yes,Yes,Rather yes,Yes,Yes,Rather yes,Yes,No,Rather yes,Rather yes,No,No,No,No,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Rather yes,Yes,Rather no,No,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,Rather no,Rather no,Yes,Rather no,6,1,5,-33.5,-11.5
Kim Eglin,SP,Yes,Rather no,No,No,Yes,Rather no,Rather yes,Yes,Rather yes,Yes,1,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Rather yes,Rather no,No,Yes,Yes,Yes,Yes,Rather yes,Rather yes,Yes,Rather no,No,Yes,Yes,Yes,Rather yes,Yes,No,Rather yes,Rather no,Yes,No,7,1,7,-43.5,-12.5
Verena Störi,SP,Yes,No,No,Yes,Yes,Rather no,Rather yes,Yes,Yes,Yes,1,No,Yes,No,Yes,No,Yes,Rather no,Yes,Yes,Yes,Yes,No,Yes,Rather yes,No,No,No,No,Yes,Rather yes,Yes,Yes,No,Rather yes,Yes,Rather yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Rather yes,7,1,7,-49.5,-7.5
